Food,Caloric_Value,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density
Powerade Coca Cola,9,0.009,0.076,0.078,0.054,2.3,1.8,0.0,0.0,0.0,0.005,27.1,0.0,0.021,0.0,0.082,0.0,0.5,0.0,0.013,0.0,0.0,0.0,0.0,0.3,0.0,0.096,0.0,0.0,0.3,5.3,0.0,0.058,2.671
Amp Energy Pepsi,110,0.2,0.0,0.0,0.0,29.0,29.0,0.6,0.0,0.0,0.093,209.5,0.0,0.078,0.0,0.083,0.8,4.8,2.4,0.5,0.0,0.0,0.0,0.0,31.2,0.044,0.053,7.2,0.0,40.8,7.2,0.075,0.0,61.067
Gatorade G2 Pepsi,2,0.052,0.0,0.0,0.0,0.6,0.4,0.069,0.0,0.0,0.011,28.9,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,2.1,3.8,0.0,0.0,0.69
Amp Energy Sugar Free Pepsi,5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.093,236.0,0.0,0.0,0.0,0.084,0.3,2.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.095,0.0,7.2,0.0,40.8,4.8,0.038,0.0,2.5
Energy Drink Red Bull,111,0.0,0.0,0.0,0.0,26.4,26.4,1.2,0.0,0.0,0.1,230.2,0.0,0.0,0.1,0.0,0.068,0.3,25.4,4.9,5.6,0.0,0.0,0.0,0.0,15.5,0.049,0.2,49.0,0.086,0.0,7.7,0.072,33.224
Powerade Zero Ion4 Coca Cola,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,29.5,0.0,0.098,0.0,0.028,0.0,0.2,0.0,0.064,0.7,0.0,0.2,0.057,0.6,0.051,0.072,0.3,0.0,0.0,3.0,0.0,0.026,1.393
Full Throttle Coca Cola,110,0.2,0.0,0.0,0.0,29.0,29.0,0.6,0.0,0.0,0.071,209.5,0.0,0.037,0.0,0.031,0.0,4.0,0.0,0.4,0.0,0.0,0.0,0.0,31.2,0.054,0.037,7.2,0.0,0.0,7.2,0.083,0.0,61.049
Passion Fruit Juice Purple,148,0.4,0.064,0.037,0.3,35.7,35.2,1.7,0.5,0.0,0.084,208.0,0.0,0.0,0.039,0.0,0.2,5.5,0.0,0.1,45.0,0.0,0.09,0.011,9.9,0.1,0.9,42.0,0.0,61.8,686.7,0.001,0.1,94.1
Pomegranate Juice,134,0.7,0.2,0.1,0.1,32.7,31.5,0.4,0.2,0.0,0.089,214.0,0.0,0.037,0.014,0.0,0.006,0.6,0.7,0.019,0.2,0.0,0.9,0.081,27.4,0.06,0.2,17.4,0.2,27.4,532.9,0.065,0.2,61.8
Cranberry Apricot Juice,157,0.0,0.0,0.0,0.0,39.7,0.0,0.5,0.2,0.0,0.007,204.6,0.0,0.089,0.071,0.0,0.01,0.3,0.071,0.082,0.0,0.0,0.0,0.0,22.1,0.051,0.4,7.4,0.3,12.3,149.5,0.0,0.05,62.9
Pineapple Juice,133,0.3,0.071,0.027,0.1,32.2,25.0,0.9,0.5,0.0,0.075,215.9,0.0,0.0,0.1,0.004,0.0,0.064,0.5,0.1,0.3,109.5,0.0,0.048,0.062,32.5,0.2,0.8,30.0,1.3,20.0,325.0,0.099,34.477
Passion Fruit Juice Yellow,126,0.1,0.008,0.02,0.094,33.6,33.1,1.0,0.5,0.0,0.003,211.5,0.0,0.0,0.1,0.0,0.3,3.6,0.0,0.1,73.6,0.0,0.036,0.09,9.9,0.1,0.6,42.0,0.0,32.1,686.7,0.098,0.1,119.3
Orange Apricot Juice,128,0.3,0.001,0.078,0.063,31.8,30.2,0.8,0.3,0.0,0.096,216.8,0.0,0.022,0.094,0.0,0.021,0.5,0.2,0.08,50.0,0.0,0.3,0.054,12.5,0.024,0.3,12.5,0.091,20.0,200.0,0.086,0.1,96.0
Tangerine Juice,106,0.5,0.082,0.015,0.054,24.9,24.5,1.2,0.5,0.0,0.022,219.6,0.0,0.0,0.1,0.086,0.0,0.094,0.2,0.3,0.1,76.6,0.0,0.3,0.0,44.5,0.06,0.5,19.8,0.031,34.6,439.7,0.016,27.29
Orange Juice,90,0.4,0.079,0.046,0.037,20.8,16.8,1.4,0.4,0.0,0.067,176.6,0.0,0.0,0.2,0.002,0.0,0.01,0.8,0.4,0.052,100.0,0.0,0.013,0.053,22.0,0.06,0.4,22.0,0.056,34.0,400.0,0.067,23.177
Grapefruit Juice,96,0.2,0.011,0.09,0.008,22.7,0.0,1.2,0.0,0.0,0.061,222.3,0.0,0.0,0.06,0.038,0.0,0.01,0.5,0.5,0.1,93.9,0.0,0.0,0.0,22.2,0.004,0.5,29.6,0.037,37.1,400.1,0.0,24.254
Pineapple Grapefruit Juice,118,0.3,0.077,0.0,0.022,29.0,28.8,0.5,0.3,0.0,0.054,219.8,0.0,0.042,0.047,0.0,0.07,0.7,0.1,0.1,115.0,0.0,0.001,0.046,17.5,0.1,0.8,15.0,1.0,15.0,152.5,0.025,0.2,163.4
Tamarind Nectar,143,0.3,0.0,0.0,0.0,37.0,31.9,0.2,1.3,0.0,0.046,213.3,0.0,0.077,0.055,0.0,0.024,0.2,0.025,0.048,17.8,0.0,0.3,0.069,25.1,0.054,1.9,10.0,0.079,5.0,67.8,0.0,0.089,83.6
Apple Juice,114,0.3,0.064,0.078,0.09,28.0,23.9,0.2,0.5,0.0,0.038,218.8,0.0,0.0,0.083,0.0,0.0,0.019,0.2,0.1,0.025,2.2,0.0,0.057,0.0,19.8,0.065,0.3,12.4,0.2,17.4,250.5,0.039,29.087
Limeade,128,0.0,0.0,0.0,0.0,34.1,32.8,0.0,0.0,0.0,0.071,212.6,0.0,0.047,0.058,0.0,0.034,0.05,0.006,0.051,7.7,0.0,0.0,0.0,4.9,0.058,0.0,4.9,0.068,2.5,24.7,0.081,0.024,46.7
Guava Nectar,158,0.2,0.05,0.071,0.054,40.8,32.5,0.2,2.5,0.0,0.063,209.6,0.0,0.0,0.06,0.075,0.0,0.073,0.4,0.2,0.057,53.0,0.0,0.1,0.087,20.1,0.055,1.0,5.0,0.1,5.0,97.9,0.0,43.83
Orange Grapefruit Juice,106,0.2,0.009,0.001,0.098,25.4,25.1,1.5,0.2,0.0,0.082,218.9,0.0,0.1,0.005,0.0,0.04,0.8,0.3,0.079,71.9,0.0,0.3,0.066,19.8,0.2,1.1,24.7,0.067,34.6,390.3,0.005,0.2,120.1
Orange Juice Sainsburys,14,0.088,2.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049
Cranberry Apple Juice,154,0.3,0.066,0.014,0.1,38.8,35.5,0.0,0.0,0.0,0.061,205.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,0.0,0.3,0.075,7.4,0.07,0.2,2.5,0.1,4.9,41.7,0.0,0.015,143.5
Pineapple Orange Juice,125,0.0,0.0,0.0,0.0,29.5,29.0,3.3,0.3,0.0,0.069,217.3,0.0,0.035,0.046,0.0,0.02,0.5,0.1,0.1,56.3,0.0,0.079,0.085,12.5,0.1,0.7,15.0,0.9,10.0,115.0,0.071,0.2,102.6
Pear Nectar,150,0.062,0.032,0.086,0.038,39.4,0.0,0.3,1.5,0.0,0.056,210.0,0.0,0.0,0.032,0.049,0.0,0.033,0.3,0.087,0.017,67.5,0.0,0.0,0.0,12.5,0.2,0.7,7.5,0.041,7.5,32.5,0.065,41.466
Blackberry Juice,95,1.5,0.095,0.1,0.9,19.5,19.3,0.8,0.3,0.0,0.072,227.3,0.0,0.076,0.091,0.0,0.053,1.1,0.0,0.075,28.3,0.0,2.3,0.088,30.0,0.3,1.2,52.5,0.0,30.0,337.5,0.093,1.0,81.6
Lemon Juice,54,0.6,0.06,0.073,0.038,16.6,6.1,0.9,0.7,0.0,0.046,225.2,0.0,0.0,0.015,0.093,0.0,0.084,0.2,0.2,0.1,94.4,0.0,0.4,0.0,14.6,0.073,0.2,14.6,0.091,19.5,251.3,0.09,18.9
Cranberry Grape Juice,137,0.2,0.053,0.092,0.08,34.3,0.0,0.5,0.2,0.0,0.079,209.7,0.0,0.094,0.09,0.0,0.056,0.3,0.1,0.027,78.4,0.0,0.0,0.0,19.6,0.051,0.04,7.4,0.4,9.8,58.8,0.0,0.055,133.2
Citrus Fruit Juice,114,0.057,0.088,0.048,0.085,28.3,20.2,0.8,0.2,0.0,0.051,217.8,0.0,0.043,0.021,0.0,0.096,0.2,0.2,0.054,67.2,0.0,0.1,0.042,22.3,0.065,2.8,14.9,0.2,24.8,277.8,0.036,0.011,121.7
Prune Juice,182,0.006,0.033,0.082,0.011,44.7,42.1,1.6,2.6,0.0,0.1,208.0,0.0,0.038,0.0,0.0,0.2,2.0,0.3,0.6,10.5,0.0,0.3,0.007,30.7,0.2,3.0,35.8,0.4,64.0,706.6,0.083,0.5,93.105
Guanabana Nectar,148,0.4,0.096,0.1,0.006,37.5,32.8,0.3,0.3,0.0,0.061,212.6,0.0,0.086,0.05,0.0,0.027,0.3,0.2,0.05,27.9,0.0,0.036,0.0,17.6,0.067,0.9,7.5,0.056,5.0,62.8,0.067,0.011,84.9
Fruit Juice,108,0.1,0.059,0.048,0.036,26.3,24.2,0.3,0.2,0.0,0.1,172.7,0.0,0.071,0.2,0.0,0.0,0.096,0.028,0.0,0.001,50.8,0.0,0.1,0.0,6.0,0.039,0.5,10.0,0.0,14.0,244.0,0.089,26.937
Horchata,15,0.2,0.0,0.0,0.0,3.3,2.6,0.1,0.0,0.0,0.013,24.6,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.029,0.0,0.0,0.022,0.0,5.1,0.028,0.057,0.8,0.045,4.2,9.6,0.005,0.058,8.717
Fruit Punch,98,0.4,0.048,0.011,0.039,24.4,0.0,0.2,0.0,0.0,0.08,208.6,0.0,0.092,0.061,0.0,0.1,0.1,0.035,0.047,11.2,0.0,0.0,0.0,16.4,0.097,0.5,7.0,0.1,7.0,154.4,0.0,0.4,53.1
Apricot Nectar,139,0.2,0.07,0.085,0.039,35.7,34.2,0.9,1.5,0.0,0.025,210.5,0.0,0.044,0.059,0.0,0.014,0.6,0.2,0.036,1.5,0.0,0.8,0.008,17.4,0.2,0.9,12.4,0.008,22.3,282.7,0.0,0.2,58.1
Orangensaft Ja,86,0.0,0.0,17.8,17.8,1.4,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
Fruchtcocktail Granini,102,0.4,0.2,23.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
Peach Nectar,125,1.3,0.6,0.2,0.5,29.7,27.8,0.5,0.2,0.0,0.077,217.3,0.0,0.038,0.1,0.005,0.0,0.049,0.5,0.2,0.091,75.2,0.0,1.5,0.0,14.9,0.2,0.2,12.5,0.058,12.5,124.5,0.071,31.949
Orange Pineapple Juice,15,0.08,0.056,0.026,0.024,3.6,3.1,0.1,0.032,0.0,0.044,25.7,0.0,0.044,0.01,0.0,0.069,0.054,0.0,0.053,12.0,0.0,0.036,0.016,2.4,0.09,0.086,3.0,0.1,3.2,44.3,0.076,0.072,18.261
Cranberry Juice,92,0.3,0.061,0.098,0.1,24.4,24.2,0.8,0.2,0.0,0.093,174.3,0.0,0.0,0.069,0.011,0.0,0.016,0.2,0.0,0.1,18.6,0.0,2.4,0.099,16.0,0.1,0.5,12.0,0.0,26.0,154.0,0.036,25.975
White Grapefruit Juice,96,0.2,0.083,0.091,0.007,22.7,22.5,1.2,0.2,0.0,0.018,222.3,0.0,0.015,0.029,0.0,0.005,0.5,0.5,0.1,93.9,0.0,0.5,0.0,22.2,0.035,0.5,29.6,0.032,37.1,400.1,0.019,0.1,140.9
Mango Nectar,128,0.2,0.04,0.092,0.066,32.9,31.2,0.3,0.8,0.0,0.061,217.4,0.0,0.0,0.039,0.055,0.0,0.06,0.2,0.2,0.038,38.2,0.0,0.5,0.047,42.7,0.087,0.9,7.5,0.007,5.0,60.2,0.025,34.447
Acerola Cherry Juice,56,0.7,0.2,0.2,0.2,11.6,10.9,1.0,0.7,0.0,0.082,228.2,0.0,0.067,0.084,0.0,0.1,1.0,0.5,0.051,3872.0,0.0,0.4,0.057,24.2,0.2,1.2,29.0,0.0,21.8,234.7,0.061,0.2,3911.4
Apple Juice Concentrate,350,0.8,0.1,0.053,0.2,86.5,81.9,1.1,0.8,0.0,0.049,120.3,0.0,0.029,0.005,0.0,0.1,0.3,0.5,0.2,4.4,0.0,0.022,0.0,42.2,0.1,1.9,35.9,0.5,52.8,945.3,0.067,0.3,137.7
Papaya Nectar,143,0.4,0.1,0.1,0.07,36.3,34.8,0.4,1.5,0.0,0.082,212.6,0.0,0.0,0.053,0.039,0.0,0.077,0.4,0.1,0.017,7.5,0.0,0.6,0.076,25.0,0.029,0.9,7.5,0.012,0.0,77.5,0.072,38.657
Apple Juice Martinellis,122,0.0,0.0,29.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lime Juice,61,0.2,0.052,0.087,0.071,20.4,4.1,1.0,1.0,0.0,0.014,219.7,0.0,0.015,0.01,0.0,0.078,0.3,0.3,0.04,72.6,0.0,0.5,0.074,33.9,0.027,0.2,19.4,0.011,33.9,283.1,0.052,0.2,129.3
Grape Juice,152,0.3,0.06,0.03,0.059,37.4,35.9,0.9,0.5,0.0,0.003,213.8,0.0,0.05,0.0,0.0,0.025,0.3,0.1,0.086,0.3,0.0,0.0,0.025,27.8,0.025,0.6,25.3,0.6,35.4,263.1,0.0,0.2,67.8
Water Dannon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,9.9
Tap Water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,236.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.086,0.0,2.4,0.0,0.0,0.0,0.0,0.042,7.1
Table Water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,499.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
Fruit Flavored Water,52,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,223.8,0.05,0.0,0.016,0.049,0.0,2.0,1.0,0.2,30.1,0.0,4.5,0.0,40.3,0.061,0.0,7.1,0.0,0.0,0.0,0.0,0.8,83.471
Water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,0.098,0.0,4.7,0.0,0.0,0.0,0.0,0.0,23.7
Cola Light Coca Cola,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,336.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lemon Lime Soda,151,0.0,0.0,0.0,0.0,38.4,37.6,0.3,0.0,0.0,0.024,330.2,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.061,3.7,0.0,0.0,3.7,0.0,0.065,46.113
Tonic Water,114,0.0,0.0,0.0,0.0,29.6,29.6,0.0,0.0,0.0,0.049,306.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.031,0.09,0.0,0.05,0.0,0.0,0.0,0.3,33.038
Lemonade Low Calorie,7,0.0,0.0,0.0,0.0,1.6,0.0,0.092,0.0,0.0,0.013,236.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,66.9,0.04,0.1,2.4,0.057,31.1,2.4,0.0,0.011,76.216
Ginger Ale,68,0.0,0.0,0.0,0.0,17.5,17.4,0.0,0.0,0.0,0.043,182.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.024,0.4,2.0,0.087,0.0,2.0,0.078,17.528
Ice Tea Lemon Flavor Nestle,88,0.0,0.0,0.0,0.0,22.3,22.3,0.0,0.0,0.0,0.063,223.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.068,0.0,2.5,0.3,88.2,46.6,0.0,0.1,29.7
Sprite Coca Cola,80,0.063,0.0,0.0,0.0,20.3,18.0,0.1,0.0,0.0,0.021,179.6,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.042,0.2,2.0,0.017,0.0,2.0,0.0,20.538
Cola Coca Cola,151,0.0,0.0,0.0,0.0,38.9,38.9,0.0,0.0,0.0,0.045,329.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.048,0.0,0.0,40.5,11.0,0.045,0.052,46.4
Cola,74,0.07,0.0,0.0,0.0,19.1,17.9,0.1,0.0,0.0,0.072,180.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.012,0.2,0.0,0.081,20.0,4.0,0.038,19.336
Cream Soda,252,0.0,0.0,0.0,0.0,65.7,65.7,0.0,0.0,0.0,0.098,428.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.036,0.2,4.9,0.08,0.0,4.9,0.0,0.3,90.6
Club Soda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,199.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.015,0.078,2.0,0.052,0.0,4.0,0.0,0.025
Pink Lemonade,86,0.3,0.079,0.03,0.034,21.6,20.6,0.1,0.2,0.0,0.01,177.8,0.0,0.003,0.078,0.0,0.0,0.047,0.035,0.061,6.2,0.0,0.062,0.0,8.0,0.011,0.092,4.0,0.094,4.0,34.0,0.0,0.093,36.488
Grape Soda,160,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,0.042,330.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.038,0.3,3.7,0.054,0.0,3.7,0.0,0.3,53.2
Cola Without Caffeine Coca Cola,151,0.0,0.0,0.0,0.0,38.9,38.9,0.0,0.0,0.0,0.04,329.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.026,0.0,0.0,40.5,11.0,0.063,0.032,46.381
White Lemonade,80,0.003,0.093,0.024,0.076,20.8,20.0,0.1,0.0,0.0,0.02,178.7,0.0,0.0,0.004,0.043,0.0,0.02,0.094,0.094,0.007,7.8,0.0,0.04,0.0,8.0,0.013,0.3,4.0,0.083,4.0,30.0,0.066,21.02
Chocolate Soda,207,0.0,0.0,0.0,0.0,52.6,52.6,0.0,0.0,0.0,0.031,438.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.022,0.5,4.9,0.2,4.9,246.0,0.015,0.8,72.8
Sweet Tea Lipton,130,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
